Word	Class
0	PAD
1	UNK
2	n
3	o
4	r
5	t
6	h
7	go
8	to
9	the
10	red
11	room,
12	then
13	north
14	part
15	of
16	blue
17	green
18	room.
19	pink
20	room
21	d
22	w
23	 
24	e
25	s
26	p
27	a
28	c
29	and
30	bring
31	chair
32	back
33	purple
34	make
35	your
36	way
37	i
38	g
39	move
40	u
41	other
42	push
43	into
44	take
45	from
46	exit
47	turn
48	right
49	three
50	times
51	in
52	left
53	object
54	,
55	m
56	v
57	f
58	l
59	item
60	y
61	laundry
62	bin
63	get
64	char
65	com
66	now
67	south
68	yellow
69	walk
70	violet
71	k
72	enter
73	come
74	where
75	you
76	started
77	through
78	basket
79	return
80	q
81	.
82	door
83	behind
84	item,
85	table
86	please
87	thing,
88	leave
89	box
90	across
91	it
92	with
93	chair.
94	dog
95	'
96	down
97	up
98	finally,
99	stop.
100	carry
101	via
102	pick
103	under
104	before
105	returning
106	top
107	center
108	bag
109	put
110	yourself
111	basket,
112	place
113	baske,
114	retrieve
115	starting
116	position
117	b
118	can
119	stay
120	till
121	reach
122	wall
123	west
124	until
125	another
126	one
127	pace
128	east
129	four
130	paces
131	two
132	finally
133	purp
134	!
135	moving
136	release
137	toy
138	doll
139	first
140	tho
141	follow
142	west,
143	north,
144	east,
145	door,
146	there
147	color
148	this
149	bin,
150	thing
151	going
152	around
153	bottom
154	trash
155	far
156	object.
157	upward
158	proceed
159	all
160	room,go
161	right,up,up,left,down,down,down,go
162	inside
163	's
164	below
165	trolley
166	out
167	straight
168	near
169	wall,
170	x
171	5
172	hall
173	locate
174	pickup
175	object,
176	drop
177	grab
178	too
179	stand
180	entrance
181	doorway
182	remain
183	five
184	over
185	red,
186	blue,
187	left,
188	3
189	up,
190	right,
191	4
192	collect
193	large
194	on
195	then,
196	trashcan
197	can,
198	set
199	chair,
200	doorway,
201	robot
202	pushing
203	again
204	bucket
205	chicken
206	orange
207	find
208	without
209	front
210	backpack
211	towards
212	but
213	stop
214	side
215	line
216	pass
217	re-enter
218	at
219	previous
220	container
221	1,
222	2,
223	shortest
224	path
225	so
226	that
227	are
228	underneath/below
229	route
230	initial
231	point
232	after
233	entering
234	basket.
235	animal
236	center,
237	underneath
238	area,
239	re
240	top,
241	wastebasket
242	ahead
243	waste
244	room,right,up,up,left,down,down,down,down,go
245	above
246	head
247	original
248	realese
249	ring
250	grasp
251	will
252	have
253	their
254	;
255	middle
256	rooom
257	puppy
258	spaces
259	south.
260	peach
261	next
262	once
263	times,
264	afterward
265	step
266	him
267	end
268	here
269	though
270	chiir
271	see
272	dinning
273	goto
274	want
275	1
276	got
277	steps
278	them
279	gget
280	room,then
281	by
282	afterwards
283	blued
284	backto
285	it.
286	current
287	wate
288	there,
289	in.
290	were
291	blocking
292	slide
293	twordas
294	-
295	doorway.
296	square
297	pust
298	be
299	toward
300	watebasket
301	down,
302	door.
303	passing
304	bascket
305	that's
306	taking
307	2
308	can.
309	thru
310	two,
311	one,
312	getting
313	second
314	adjacent
315	south,
316	just
317	spaces.
318	available
319	once,
320	leading
321	rooma
322	nd
323	room,move
324	room,left,up,up,right,down,down
325	circle
326	table.
